Code;Label
0663;Squash, zucchini (slawi)                 
0664;Pumpkin                   
0665;Cucumber and gherkin                 
0666;Sweet and hot pepper                
0667;Greek cusp                  
0669;Other vegetables cultivated for their fruit              
067;Fresh vegetables mix                 
0671;Fresh vegetable mix                 
068;Take away soups                 
0681;Soup (harira), broth, bissara                
07;DRY OR CANNED VEGETABLES                
071;Dry leguminous vegetables                 
0711;Dry broad beans                 
0712;Chick peas                  
0713;Dry beans                  
0714;Lentils                   
0715;Dry peas                  
0716;Fenugreek                   
0719;Other dry leguminous                 
072;Dried vegetables                  
0721;Dried onions                  
0722;Garlic                   
0729;Other dried vegetables                 
073;Canned vegetables or leguminous                
0731;Canned tomato                  
0732;Canned peas                  
0733;Canned beans                  
0734;Canned mixed vegetables                 
0735;Canned mushrooms                  
0736;Sour vegetables                  
0737;Gherkins in vinegar                 
0738;Canned corn                  
0739;Other canned vegetables                 
074;Olives                   
0741;Black olives                  
0742;Whole green olives                 
0743;Deboned green olives                 
0744;Olive mix                  
0745;Olives and vegetables sour pickles, olives and hot peppers pickles          
0749;Olives nos                  
075;Processed potatoes                  
0751;Dehydrated potatoes                  
0752;Deep-frozen processed potatoes                 
0753;Chips                   
0759;Other dehydrated vegetables                 
076;Deep-frozen vegetables                  
0761;Deep-frozen peas                  
0762;Deep-frozen spinach                  
0763;Deep-frozen string beans                 
0764;Deep-frozen cabbage (brocoli, Brussel sprouts…)               
0765;Deep-frozen artichokes                  
0766;Deep-frozen mushrooms                  
0767;Deep-frozen mixed vegetables                 
0769;Other deep-frozen vegetables                 
08;FRUIT                   
081;Citrus fruit                  
0811;Oranges                   
0812;Tangerines, clementines                  
0813;Lemons                   
0814;Grapefruit                   
0815;Other citrus fruit                 
082;Fresh fruit with seeds                
0821;Grapes                   
0822;Apples                   
0823;Pears                   
0824;Melons                   
0825;Watermelons                   
0826;Fresh figs                  
0827;Prickle pears                  
0828;Grenades                   
0829;Other fresh fruits with seeds (strawberries…)              
083;Stone fruit                  
0831;Apricots                   
0832;Plums                   
0833;Peaches                   
0834;Mediars                   
0835;Cherries                   
0836;Nectarines                   
0839;Other stone fruit                 
084;Dried fruit                  
0841;Dried figs                  
0842;Raisins or currants                 
0843;Prunes                   
0844;Dates                   
0845;Acorns and chestnuts                 
0846;Carob (kharroub)                  
0847;Jujube                   
0849;Other dried fruit                 
085;Oleaginous fruit                  
0851;Shelled nuts                  
0852;Unsehelled nuts                  
0853;Shelled almonds                  
0854;Unshell almonds                  
0855;Shelled groundnuts or peanuts                
0856;Unshelled groundnuts or peanuts                
0859;Sunflower seeds, squash seeds and other oleaginous fruit seeds           
086;Tropical fruit                  
0861;Bananas                   
0862;Coconuts                   
0863;Pineapples                   
0864;Kiwis                   
0865;Avocados                   
0869;Other tropical fruit                 
087;Processed fruit                  
0871;Fruit in syrup, mixed fruits, fruit salad             
0872;Jams and marmalades                 
0873;Frozen fruits                  
0879;Other processed fruits                 
088;Fruit mix                  
0881;Fruit mix                  
09;SUGAR, SWEET PRODUCTS, CHOCOLATE PRODUCTS AND PRODUCTS FOR DESSERTS AND PASTRY         
091;Sugar                   
0911;Loaf-sugar                   
0912;Pieced sugar                  
0913;Powdered sugar                  
0919;Sugar nos                  
092;Honey                   
0921;Natural honey                  
0922;Industrial honey                  
0929;Honey nos                  
093;Confectionery, candies and chocolate                
0931;Confectionery and sweets                 
0932;Chocolate                   
0933;Powder cocoa                  
0934;Sweeteners                   
0935;Ice-creams, ice lollies and popsicles               
0939;Other assimilated products                 
10;CHOCOLATE PRODUCTS FOR BREAKFAST, PRODUCTS FOR DESSERTS AND PASTRY           
101;Chocolate products for breakfasts                
1011;Pure cocoa, sweet cocoa, instant or non instant chocolate and assimilated products        
102;Products for desserts and pastry               
1021;Mix for custard pies and creams              
1022;Vanilla and flavourings for desserts and pastries             
1023;Candied fruits, fruit paste                
1024;Icing sugar, vanilla sugar                
1025;Other assimilated products                 
11;TEA, COFFEE AND INFUSING HERBS               
111;Tea                   
1111;Green leave tea                  
1112;Black tea                  
1119;Tea nos                  
112;Coffee                   
1121;Whole and ground coffee                
1122;Normal or decaffeintaed coffee                
1123;Chicorea or other coffee substitutes               
1129;Coffee nos                  
113;Infusing herbs                  
1131;Mint                   
1132;Vervain (fresh, dried and in bags)              
1133;Absinthe                   
1134;Horse mint                  
1135;Marjoram or oregano                 
1136;Camomile                   
1137;Sage                   
1139;Other infusion herbs                 
12;FOOD SEASONINGS AND VARIOUS FOOD PRODUCTS NEC             
121;Salt                   
1211;Powder uniodized salt                 
1212;Powder iodized salt                 
1213;Uniodized sea salt crystals                
1214;Iodized salt crystals                 
1219;Salt nos                  
122;Vinegar                   
1221;Vinegar                   
123;Spices and condiments                 
1231;Pepper, ginger                  
1232;Saffron, turmeric                  
1233;Sweet or hot pepper                
1234;Caraway                   
1235;Cinnamon                   
1236;Anise                   
1237;Sesame                   
1238;Mixed spices and condiments                
1239;Other spices and condiments (sanouj, gum, nutmeg)             
124;Food seasonings                  
1241;Flavourings (Maggie, Knorr and assimilated products)              
1242;Mustard, mayonnaise and assimilated products               
1243;Tomato sauce                  
1244;Ketchup                   
1245;Other food seasoning products                
125;Yeast                   
1251;Baked yeast                  
1252;Granular yeast                  
1259;Yeast nos                  
126;Dehydrated soups                  
1261;Dehydrated soups                  
13;Non alcoholic BEVERAGES                 
131;Fruit and vegetable juices                
1311;Vegetable juices                  
1312;Orange juice                  
1313;Other fruit juice (apples, bananas…)               
132;Non alcoholic drinks                 
1321;Mineral waters                  
1322;Sodas                   
1323;Syrups, sorbets                  
1328;Waters nec (eau d’el redir…)               
14;ALCOHOLIC BEVERAGES                  
141;Wines                   
1411;Wines                   
142;Beers                   
1421;Beers                   
143;Other alcoholic beverages                 
1431;Whiskies and champagnes                 
1432;Aperitifs (Ricard, Pastis, Martini…)                
1433;Eau de vie (cognac, rum, gin, vodka…)             
1434;Other alcoholic drinks                 
15;FOOD AND BEVERAGES CONSUMED OUTSIDE               
151;Beverages (meal excluded) consumed in cafes and restaurants (incl. tip)          
1511;Tea                   
1512;Coffee                   
1513;Other non alcoholic beverages                
1514;Alcoholic beverages                  
152;Beverages (meal excluded) consumed in hotels (incl. tip)            
1521;Tea                   
1522;Coffee                   
1523;Other non alcoholic beverages                
1524;Alcoholic drinks                  
153;Beverages (meal excluded) consumed in other outside places (incl. tip)          
1531;Tea                   
1532;Coffee                   
1533;Other non alcoholic beverages                
1534;Alcoholic beverages                  
154;Food consumed in restaurants (incl. tip)              
1541;Cereal-based food                  
1542;Vegetable-based food                  
1543;Meat-based food                  
1544;Fish-based food                  
1545;Poultry-based food                  
1549;Other food consumed in restaurants               
155;Food consumed in hotels (including tip)              
1551;Cereal-based food                  
1552;Vegetable-based food                  
1553;Meat-based food                  
1554;Fish-based food                  
1555;Poultry-based food                  
1559;Other food consumed in hotels               
156;Food consumed in other outside places (including tip)            
1561;Cereal-based food                  
1562;Vegetable-based food                  
1563;Meat-based food                  
1564;Fish-based food                  
1565;Poultry-based food                  
1569;Other food consumed in other outside places             
16;TOBACCO, CIGARETTES AND OTHER SMOKABLE PRODUCTS              
161;Tobacco (cigarettes and cigars)
1611;Cigarettes                   
1612;Cigars (including cigarillos)                 
162;Tobacco (including cigarettes)                 
1621;Chewable tobacco and snuff                
1622;Smokable tobacco                  
163;Other smokable products                 
1631;Other smokable products                 
1632;Other expenses related to tobacco               
164;Drugs                   
1641;Drugs                   
17;VARIOUS EXPENDITURES RELATED TO FOOD PRODUCTS (EXCLUDING TRANSPORT)            
171;Various expenditures related to food products              
1711;Cakes and bread baking fees               
1712;Seeds grain grinding expenses (including winnower fees)             
1713;Other expenses related to cereal products              
1714;Expenses related to non cereal food products             
18;EXCEPTIONAL EXPENSES: FOOD PRODUCTS PURCHASE               
181;Exceptional expenses: food products purchase               
1811;Exceptional expenses                  
1812;Exceptional expenses: live animals                
1813;Exceptional expenses: meats                 
1814;Exceptional expenses: poultry                 
1815;Exceptional expenses: wheat-based products                
1819;Exceptional expenses nos                 
2;CLOTHING (including FOOTWEAR)                 
21;OVERWEAR CLOTHING FOR ADULTS                
211;Traditional clothing for men                
2111;Jellaba                   
2112;Burnous                   
2113;Farajia                   
2114;Tchamir (kechaba)                  
2115;Bedaaya (gandura)                  
2116;Sarual (traditional)                  
2119;Other traditional overwear clothing for men              
212;Traditional clothing for women (18 years and over)            
2121;Jellaba                   
2122;Haïk                   
2123;Kaftan and bedaaya (sleeveless kaftan)               
2124;Fukia and dfina (takchita)                
2125;Tahtiya and tchamir (kmis)                
2126;Traditional sarual                  
2129;Other traditional clothing for women               
213;Modern textile clothing for men (18 years and over)           
2131;Coat and impermeable overcoat                
2132;Suit, coordinates                  
2133;Jacket and blazer, anorak                
2134;Trousers (fabric or velvet), blue-jean (including dungarees and overalls) and shorts (excluding sportswear shorts)      
2135;Knits (pull-over and waistcoats), sweaters               
2136;Sportswear (tracksuit, swimsuit)                 
2137;Workwear (including scrubs, blue dungarees, schoolwear, uniforms…)             
2139;Other modern clothing for men               
214;Modern leather or suede clothing for men (18 years and over)         
2141;Leather or denim coat and overcoat              
2142;Jacket and blazer, anorak                
2143;Leather or suede trousers and shorts              
2149;Other modern leather or denim clothing for men            
215;Modern clothing for women (18 years and over)            
2151;Leather, fabric or suede coat and overcoat, raincoat (incl. fur coat)         
2152;Dress, skirt                  
2153;Skirt and trousers suits and other coordinates             
2154;Jacket and blazer, anorak                
2155;Trousers (including bermuda shorts, pants…)               
2156;Knits (pull-over and waistcoats), sweaters               
2157;Workwear (including scrubs, blue dungarees, schoolwear…)              
2158;Sportswear (tracksuit, swimsuit)                 
2159;Other modern young’s clothes                
216;Leather or suede modern clothing for women (18 years and over)         
2161;Leather or sued coat and overcoat              
2162;Dress, skirt                  
2163;Skirt suits, trousers suits and other coordinates             
2164;Jacket and blazer, anorak                
2165;Leather or suede trousers (excl. shorts and sports wear)           
2169;Other modern leather or suede clothes for women            
217;Unallocated over clothing for men (18 years and over)           
2171;Unallocated traditional over clothing for men              
2172;Unallocated modern over clothing for men              
2173;Unallocated over clothing for men               
218;Unallocated over clothing for women (18 years and over)           
2181;Unallocated traditional over clothing for women              
2182;Unallocated modern over clothing for women              
2183;Unallocated over clothing for women               
22;Over clothing for children                
221;Traditional clothing for 2 to 18 year-old boys            
2211;Jellaba                   
2212;Burnous                   
2213;Bedaaya                   
2219;Other traditional clothing for boys               
222;Traditional clothing for 2 to 18 year-old girls            
2221;Jellaba                   
2222;Fukia and dfina                 
2223;Kaftan and bedaaya                 
2224;Tahtia and tchamir                 
2229;Other traditional clothing for girls               
223;Modern fabric clothing for 2 to 18 year-old boys           
2231;Fabric impermeable coat and overcoat               
2232;Suit, coordinates                  
2233;Jacket and blazer, anorak                
2234;Trousers (fabric or velvet), blue-jean (incl. dungarees) and shorts (excl. sports shorts)        
2235;Knits (pull-over and waistcoats), sweaters               
2236;Sportswear (tracksuit, swimsuit)                 
2237;Workwear (including scrubs, blue dungarees, schoolwear uniforms…)             
2239;Other modern clothing for men               
224;Modern leather or suede clothing for 2 to 18 year-old boys         
2241;Fabric impermeable coat and overcoat               
2242;Suit, coordinates                  
2243;Jacket and blazer, anorak                
2249;Trousers (fabric or velvet), blue-jean (including dungarees) and shorts (excluding sports shorts)        
225;Modern fabric clothes for 2 to 18 year-old girls           
2251;Fabric impermeable coat and overcoat               
2252;Dress and skirt                 
2253;Skirt suits, trousers suits and other coordinates             
2254;Jacket and blazer, anorak                
2255;Trousers (including bermuda shorts, pants…)               
2256;Knits (pull-over and waistcoats), sweaters               
2257;Workwear (including scrubs, blue dungarees, schoolwear…)              
2258;Sportswear (tracksuit, swimsuit)                 
2259;Other modern clothing                 
226;Modern leather or suede clothing for 2 to 18 year-old girls         
2261;Leather or suede coat and overcoat              
2262;Dress, skirt                  
2263;Skirt suits, trousers suits and other coordinates             
2264;Jacket and blazer, anorak                
2265;Leather or dued trousers and shorts (exl. Sports shorts)           
2269;Other modern leather or suede clothing for girls            
227;Unallocated overclothing for 2 to 18 year-old boys            
2271;Unallocated traditional overclothing for boys               
2272;Unallocated modern overclothing for boys               
2273;Unallocated overclothing for boys                
228;Unallocated overclothing for 2 to 18 year-old girls            
2281;Unallocated traditional overclothing for girls               
2282;Unallocated modern clothing for girls               
2283;Unallocated overclothing for girls                
23;GARMENT ACCESSORIES
231;Garment accessories for men (18 years and over)            
2311;Tarbouch                   
2312;Takiya and bonnet                 
2313;Hat and cap, beret                
2314;Erraza and turban                 
2315;Belt, shoulder strap and assimilated articles              
2316;Ties and assimilated articles                
2317;Handkierchieves                   
2318;Gloves                   
2319;Other garment accessories for men               
232;Garment accessories for women (18 years and over)            
2321;Scarf                   
2322;Sebnia                   
2323;Veil                   
2324;Shawls                   
2325;Belts and assimilated articles                
2327;Gloves                   
2328;Hat, cap, beret                 
2329;Other garment accessories for women               
233;Garment accessories for 2 to 18-year old boys            
2331;Tarbouch                   
2332;Takiya and bonnet                 
2333;Hat, cap, beret                 
2334;Belts, shoulder straps and assimilated articles              
2335;Ties and assimilated articles                
2336;Handkirchieves                   
2337;Gloves                   
2339;Other garment accessories for boys               
234;Garment accessories for 2 to 18 year-old girls            
2341;Scarf                   
2342;Sebnia                   
2343;Veil                   
2344;Shawl                   
2345;Hat, cap, beret…                 
2346;Belt and assimilated articles                
2347;Handkerchieves                   
2348;Gloves                   
2349;Other garment accessories for girls               
24;Shirts and other lingeries                
241;Shirts and other lingeries for men (over 18)            
2411;Shirts                   
2412;Tee-shirt and seat-shirt                 
2413;Boxers and briefs                 
2414;Socks                   
2416;Blouses, overalls, dressing gowns, housecoats and pyjamas             
2419;Other underwear for men                
242;Shirts and other underwear for women (over 18)            
2421;Shirts                   
2422;Tee-shirt and sweat-shirt                 
2423;Bodysuit, half-slip, night gown, pyjama, tops              
2424;Boxer, panty, girdle                 
2425;Socks, stockings, tights                 
2426;Bras                   
2429;Other underwear for women                
243;Shirts and other underwear for 2 to 18 year-old boys          
2431;Shirts                   
2432;Tee-shirt and sweat-shirt                 
2433;Boxers and briefs                 
2434;Socks                   
2435;Blouses, overalls, dressing gowns, housecoats and pyjamas             
2439;Other underwear for boys                
244;Shirts and other underwear for girls for 2 to 18 year-old girls        
2441;Shirts                   
2442;Tee-shirt and sweat-shirt                 
2443;Bodysuit, half-slip, night gown, pyjamas, tops              
2444;Boxers and panties                 
2446;Bras                   
2449;Other underwear for women                
25;GARMENT WOVEN FABRICS, WOOL AND HABERDASHERY              
251;Garment woven fabrics for men (over 18)             
2511;Woven fabrics of wool or containing wool             
2512;Woven fabrics of cotton or containing cotton             
2513;Synthetic fibres fabrics (nylon, tergal…)               
2514;Woven fabrics for garment nos               
2519;Other garment woven fabrics (silk…)               
252;Garment woven fabrics for women (over 18)             
2521;Woven fabrics of wool or containing wool             
2522;Woven fabrics of cotton or containing cotton             
2523;Synthetic fibres fabrics (nylon, tergal…)               
2524;Woven fabrics for garment nos               
2529;Other garment woven fabrics (silk…)               
253;Garment woven fabrics for 2 to 18-year old boys           
2531;Woven fabrics of wool or containing wool             
2532;Woven fabrics of cotton or containing cotton             
2533;Synthetic fibres fabrics (nylon, tergal…)               
2534;Woven fabrics for garment nos               
2539;Other garment woven fabrics (silk…)               
254;Garment woven fabrics for 2 to 18-year old girls           
2541;Woven fabrics of wool or containing wool             
2542;Woven fabrics of cotton or containing cotton             
2543;Synthetic fibres fabrics (nylon, tergal…)               
2544;Woven fabrics for garment nos               
2549;Other garment woven fabrics (silk…)               
255;Haberdashery                   
2551;Sewing thread                  
2552;Wool thread                  
2553;Buttons and assimilated articles                
2554;Needles, thimbles, scissors                 
2559;Other haberdashery articles                 
26;INFANT AND BABY CLOTHES                
261;Infant and baby clothes (over 2)              
2611;Fabric, cotton baby clothes                
2612;Infant and baby diapers and napkins…              
2613;Infant and baby clothing                
262;Pre-birth bought infant clothes                
2621;Pre-birth bought infant clothing                
2622;Pre-birth bought infant garments                
27;OTHER CLOTHING EXPENSES                 
271;Cloth-making expenses                  
2711;Cloth-making expenses for men (18 and over)             
2712;Cloth-making expenses for women (18 and over)             
2714;Cloth-making for 2 to 18-year-old boys              
2719;Cloth-making expenses nos                 
272;Cloth maintenance expenses                 
2721;Laundry and dry cleaning                
2722;Dying                   
2723;Cloth maintenance expenses nos                
273;Other clothing expenses                 
2731;Other clothing expenses (clothing rental…)               
2732;Other clothing expenses nos                
28;FOOTWEAR                   
281;Men’s footwear                  
2811;Modern leather shoes (shoes, boots…)               
2812;Modern rubber shoes (shoes, boots…)               
2813;Traditional shoes (Moroccan slippers…)                
2814;Spots shoes (espadrilles, athletic shoes…)               
2815;Other men’s shoes and footwear articles              
2819;Men’s shoes nos                 
282;Women’s footwear (18 and over)               
2821;Modern leather shoes (shoes, boots…)               
2822;Modern rubber shoes (shoes, boots…)               
2823;Traditional shoes (Moroccan slippers…)                
2824;Sports shoes (espadrilles, athletics shoes…)               
2825;Other women’s shoes and footwear articles              
2829;Women’s shoes nos                 
283;Footwear for 2 to 18 year-old boys             
2831;Modern leather shoes (shoes, boots…)               
2832;Modern rubber shoes (shoes, boots…)               
2833;Traditional shoes (Moroccan slippers…)                
2834;Spots shoes (espadrilles, athletic shoes…)               
2835;Other men’s shoes and footwear articles              
2839;Boys’ shoes nos                 
284;Footwear for 2 to 18-year-old girls              
2841;Modern leather shoes (shoes, boots…)               
2842;Modern rubber shoes (shoes, boots…)               
2843;Traditional shoes (Moroccan slippers…)                
2844;Spots shoes (espadrilles, athletic shoes…)               
2845;Other men’s shoes and footwear articles              
2849;Girls’ shoes nos                 
285;Baby shoes (under 2)                
2851;Baby shoes (under 2)                
286;Shoe repair and footwear accessories               
2861;Shoe products, maintenance articles and accessories              
2862;Shoe repair expenses (resoling…)                
287;Shoes nos                  
2871;Shoes nos                  
3;HOUSING AND ENERGY EXPENDITURE                
31;RENT AND SERVICE CHARGES                
311;Rent for main residences (inc. or excl. service charges and excl. garage rent)       
3111;Fictitious rents                  
3112;Rent for main residences (incl. or excl. service charges, excl. garage rent)        
3113;Actual rents with service charges (incl. garages and different costs included in the rent)      
312;Service charges for main residences               
3121;Garage rent of main residence               
3122;Service charges for main residences paid separately by the tenant or owner        
313;Rents and service charges for secondary rsidences             
3131;Rents free of service charges for secondary residences (incl. fictitious rent)         
3132;Rents and service charges for secondary residences (incl. fictitious rent)          
3133;Service charges for secondary residence (incl. garage fees paid separately)          
314;Rents and service charges for other dwellings             
3141;Rent incl. or excl. service charges for another dwelling           
3142;Service charges for a garden, orchard or any other land parcel, guest-house or premises      
3143;Rent of premises or parking place for a caravan, boat, 2-wheel vehicle…        
3144;Rent, accommodation, housing expenditure paid by a household member living outside the household       
3149;Other service charges for other dwellings              
315;Exceptional rental expenditure                 
3151;Mortgage expenses                  
3152;Key money expenses                 
3159;Other exceptional expenditure                 
32;MAINTENANCE AND REPAIR                 
321;Painting, masonry and assimilated works (excl. manpower costs)            
3211;Painting and whitewashing (incl. wallpaper and wallcoating)             
3212;Masonry (incl. cement and plaster)               
3213;Window glassery                  
3214;Carpentry                   
3215;Locks                   
3216;Electrical repair                  
3217;Septic tank repair                 
3219;Other assimilated works                 
322;Electrical installation, plumbing, carpentry and assimilated works (excluding manpower costs)          
3221;Electrical installation                  
3222;Plumbing                   
3223;Water hook-up                  
3224;Woodframing                   
3225;Telephone connection                  
3226;Installation of private wells                
3227;Solar energy system installation                
3229;Other assimilated works                 
323;Housing maintenance nos (excl. manpower costs)              
3231;Housing maintenance nos                 
324;Manpower costs                  
3241;Manpower costs                  
325;Painting, masonry and assimilated works (excl. manpower costs)            
3251;Painting and whitewashing (incl. wallpaper and wallcoating)             
3252;Masonry (including cement and plaster)               
3253;Window glassery                  
3254;Carpentry                   
3255;Locks                   
3256;Electrical repair                  
3257;Septic tanks maintenance                 
3259;Other assimilated works                 
326;Electrical installation, plumbing, woodframing and assimilated works (including manpower costs)          
3261;Electrical connection (hook-up, Interphone…)                
3262;Plumbing                   
3263;Water hook-up (excluding subscription fees, see code 3312)            
3264;Woordframing                   
