CODIGO;DESCRICAO
15301;LOJA DE ERVA MATE
15401;LOJA DE PRODUTOS DIETETICOS
15501;EMPRESA ESPECIALIZADA
15601;HOME CENTER
15701;LOJA DE GESSO
15801;LOJA DE ALUGUEL DE EQUIPAMENTOS DE CONSTRUCAO
15901;LOJA DE PRODUTOS ORTOPEDICOS
16001;COMISSAO DE FORMATURA
16101;LOJA OPERADORA DE CELULAR
16201;CAIXA ELETRONICO
99901;NAO SABE
99902;IGNORADO
